RK23 Using Bisection Time Stepping,,RK23 Using Constant E.h Time Stepping,,RK23 Using O(h) Stepping,,RK23 Without Time Stepping,,RK23 Using Bisection Time Stepping,,RK23 Using Constant E.h Time Stepping,,RK23 Using O(h) Stepping,,RK23 Without Time Stepping,
,,33.255218,0.771584,12.441014,1.239147,0.266,2.435429,,,48.20383,0.757707,19.025714,0.966833,0.266,2.435429
,,33.794722,0.783311,12.524764,1.230021,0.268,2.434958,,,48.978348,0.714475,19.156532,0.958522,0.268,2.434958
,,34.328386,0.794572,12.608769,1.221154,0.27,2.434487,,,49.752866,0.691789,19.287967,0.950794,0.27,2.434487
,,34.87638,0.805526,12.69303,1.212546,0.272,2.434016,,,50.527384,0.688117,19.420025,0.943649,0.272,2.434016
,,35.438968,0.816165,12.77755,1.204198,0.274,2.433546,,,51.301902,0.702041,19.552713,0.937089,0.274,2.433546
,,36.016424,0.82648,12.862331,1.196109,0.276,2.433076,,,52.07642,0.724048,19.686037,0.931112,0.276,2.433076
,,36.60904,0.784372,12.947375,1.188278,0.278,2.432606,,,52.856972,0.744775,19.820003,0.92572,0.278,2.432606
,,37.201655,0.754916,13.032683,1.180708,0.28,2.432136,,,53.65872,0.764446,19.954618,0.920913,0.28,2.432136
,,37.79427,0.737385,13.118257,1.173396,0.282,2.431666,,,54.482274,0.731326,20.089889,0.916691,0.282,2.431666
,,38.386885,0.731092,13.2041,1.166344,0.284,2.431197,,,55.272214,0.695795,20.225822,0.913055,0.284,2.431197
,,38.9795,0.735391,13.290214,1.159552,0.286,2.430728,,,56.062153,0.68097,20.362423,0.910005,0.286,2.430728
,,39.572116,0.748957,13.3766,1.153019,0.288,2.430259,,,56.852093,0.685276,20.4997,0.907542,0.288,2.430259
,,40.152455,0.763111,13.46326,1.146746,0.29,2.429791,,,57.642032,0.705495,20.63766,0.905666,0.29,2.429791
,,40.746604,0.776776,13.550197,1.140732,0.292,2.429322,,,58.417205,0.727469,20.776309,0.904378,0.292,2.429322
,,41.354841,0.789949,13.637413,1.134979,0.294,2.428854,,,59.21314,0.748327,20.915655,0.903678,0.294,2.428854
,,41.977457,0.802628,13.724909,1.129485,0.296,2.428386,,,60.030431,0.757962,21.055705,0.903567,0.296,2.428386
,,42.614761,0.772237,13.812687,1.124252,0.298,2.427918,,,60.810884,0.710553,21.196465,0.904046,0.298,2.427918
,,43.220747,0.743071,13.90075,1.119279,0.3,2.42745,,,61.591336,0.684289,21.337944,0.905114,0.3,2.42745
,,43.826734,0.72631,13.989099,1.114566,0.302,2.426983,,,62.371789,0.677581,21.413448,0.905827,0.302,2.426983
,,44.43272,0.721223,14.077737,1.110114,0.304,2.426516,,,63.152242,0.688961,21.703583,0.90852,0.304,2.426516
,,45.038706,0.727126,14.166666,1.105922,0.306,2.426049,,,63.932695,0.711122,21.996701,0.911163,0.306,2.426049
,,45.644693,0.742031,14.255887,1.101992,0.308,2.425582,,,64.704659,0.73259,22.293046,0.913757,0.308,2.425582
,,46.235399,0.756828,14.345404,1.098322,0.31,2.425116,,,65.497608,0.752982,22.592681,0.916303,0.31,2.425116
,,46.839946,0.771094,14.435217,1.094914,0.312,2.424649,,,66.312136,0.737619,22.895675,0.918801,0.312,2.424649
,,47.458617,0.784827,14.525329,1.091767,0.314,2.424183,,,67.116146,0.697213,23.202098,0.921252,0.314,2.424183
,,48.091711,0.798027,14.615742,1.088881,0.316,2.423717,,,67.920156,0.67857,23.512021,0.923655,0.316,2.423717
,,48.739542,0.755852,14.706459,1.086258,0.318,2.423252,,,68.724167,0.680009,23.825518,0.926011,0.318,2.423252
,,49.387373,0.728514,14.797481,1.083896,0.32,2.422786,,,69.528177,0.699388,24.142668,0.914279,0.32,2.422786
,,50.035205,0.715083,14.88881,1.081796,0.322,2.422321,,,70.317201,0.722203,24.183016,0.910794,0.322,2.422321
,,50.683036,0.714685,14.980449,1.079959,0.324,2.421856,,,71.126847,0.743816,24.312586,0.900026,0.324,2.421856
,,51.330867,0.726505,15.072401,1.078385,0.326,2.421391,,,71.957716,0.764249,24.44271,0.889856,0.326,2.421391
,,51.978698,0.743651,15.164666,1.077073,0.328,2.420926,,,72.810446,0.735569,24.573433,0.880278,0.328,2.420926
,,52.645735,0.760193,15.257248,1.076025,0.33,2.420462,,,73.628787,0.706554,24.70476,0.871295,0.33,2.420462
,,53.326121,0.775966,15.350148,1.07524,0.332,2.419998,,,74.447127,0.699117,24.836697,0.862906,0.332,2.419998
,,54.0202,0.790989,15.443369,1.074542,0.334,2.419534,,,75.265468,0.711561,24.969251,0.85511,0.334,2.419534
,,54.728335,0.744671,15.617716,1.073253,0.336,2.41907,,,76.083809,0.733763,25.102427,0.847909,0.336,2.41907
,,55.430641,0.71621,15.792713,1.071983,0.338,2.418607,,,76.902149,0.75469,25.236231,0.841302,0.338,2.418607
,,56.127855,0.704003,15.968831,1.070726,0.34,2.418143,,,77.742058,0.77446,25.37067,0.835289,0.34,2.418143
,,56.82507,0.706704,16.146079,1.069483,0.342,2.41768,,,78.604188,0.740979,25.505751,0.829871,0.342,2.41768
,,57.522284,0.723173,16.324467,1.068255,0.344,2.417217,,,79.430941,0.706437,25.641479,0.825048,0.344,2.417217
,,58.211938,0.741622,16.504009,1.06704,0.346,2.416755,,,80.257693,0.694325,25.77786,0.82082,0.346,2.416755
,,58.914209,0.759145,16.684716,1.06584,0.348,2.416292,,,81.084445,0.702863,25.914902,0.817187,0.348,2.416292
,,59.62946,0.77577,16.866602,1.064653,0.35,2.41583,,,81.911198,0.724708,26.052611,0.814151,0.35,2.41583
,,60.35807,0.760854,17.049679,1.06348,0.352,2.415368,,,82.725831,0.746252,26.190994,0.81171,0.352,2.415368
,,61.046167,0.724342,17.233959,1.062321,0.354,2.414906,,,83.561752,0.766609,26.330057,0.809866,0.354,2.414906
,,61.72944,0.704074,17.419458,1.061176,0.356,2.414444,,,84.419606,0.750458,26.469807,0.808619,0.356,2.414444
,,62.412712,0.698683,17.606187,1.060044,0.358,2.413983,,,85.264306,0.710162,26.610251,0.807969,0.358,2.413983
,,63.095985,0.707186,17.794161,1.058926,0.36,2.413522,,,86.109007,0.693665,26.751397,0.807917,0.36,2.413522
,,63.779257,0.725496,17.983394,1.057821,0.362,2.413061,,,86.953707,0.69904,26.893251,0.808463,0.362,2.413061
,,64.445901,0.743199,18.1739,1.042502,0.364,2.4126,,,87.798408,0.720714,27.03582,0.809609,0.364,2.4126
,,65.125542,0.760072,18.182691,1.041633,0.366,2.412139,,,88.626987,0.742931,27.179113,0.811354,0.366,2.412139
,,65.818516,0.776136,18.268801,1.033283,0.368,2.411679,,,89.476672,0.76388,27.323136,0.813699,0.368,2.411679
,,66.525181,0.742524,18.354946,1.025222,0.37,2.411219,,,90.348118,0.746837,27.467897,0.816364,0.37,2.411219
,,67.19606,0.711167,18.441356,1.017429,0.372,2.410759,,,91.205708,0.704646,27.544134,0.817758,0.372,2.410759
,,67.866938,0.694904,18.528032,1.009904,0.374,2.410299,,,92.063298,0.687077,27.849928,0.823247,0.374,2.410299
,,68.537817,0.692756,18.614977,1.002646,0.376,2.40984,,,92.920888,0.692104,28.159049,0.828628,0.376,2.40984
,,69.208696,0.703807,18.702193,0.995655,0.378,2.40938,,,93.778478,0.714428,28.471774,0.833904,0.378,2.40938
,,69.879574,0.722495,18.78968,0.988932,0.38,2.408921,,,94.618868,0.737455,28.788182,0.839078,0.38,2.408921
,,70.538564,0.740193,18.877442,0.982476,0.382,2.408462,,,95.480113,0.759129,29.108357,0.844149,0.382,2.408462
,,71.210587,0.757079,18.96548,0.976287,0.384,2.408004,,,96.362877,0.742418,29.432388,0.849118,0.384,2.408004
,,71.895972,0.773171,19.053795,0.970367,0.386,2.407545,,,97.231127,0.700595,29.760364,0.853987,0.386,2.407545
,,72.595066,0.741256,19.142391,0.964713,0.388,2.407087,,,98.099377,0.683922,30.092379,0.843821,0.388,2.407087
,,73.258984,0.711573,19.231268,0.959328,0.39,2.406629,,,98.967627,0.690307,30.134597,0.84041,0.39,2.406629
,,73.922902,0.696591,19.320429,0.95421,0.392,2.406171,,,99.835877,0.713388,30.265525,0.830259,0.392,2.406171
,,74.586821,0.695367,19.409876,0.94936,0.394,2.405713,,,100.687645,0.736799,30.397012,0.820712,0.394,2.405713
,,75.250739,0.707015,19.49961,0.944778,0.396,2.405256,,,,,30.529105,0.811765,0.396,2.405256
,,75.914657,0.725486,19.589634,0.940464,0.398,2.404799,,,,,30.661807,0.803419,0.398,2.404799
,,76.569649,0.742891,19.67995,0.936418,0.4,2.404342,,,,,30.795127,0.795673,0.4,2.404342
,,77.237809,0.759509,19.770559,0.93264,0.402,2.403885,,,,,30.929068,0.788528,0.402,2.403885
,,77.919461,0.775356,19.861464,0.929131,0.404,2.403429,,,,,31.063638,0.781984,0.404,2.403429
,,78.614951,0.743787,19.952667,0.92589,0.406,2.402972,,,,,31.198843,0.77604,0.406,2.402972
,,79.275528,0.714435,20.044169,0.922917,0.408,2.402516,,,,,31.334689,0.770697,0.408,2.402516
,,79.936105,0.699628,20.135973,0.920214,0.41,2.40206,,,,,31.471182,0.765955,0.41,2.40206
,,80.596683,0.698436,20.228081,0.917778,0.412,2.401605,,,,,31.608328,0.761814,0.412,2.401605
,,81.25726,0.709987,20.320495,0.915612,0.414,2.401149,,,,,31.746135,0.758274,0.414,2.401149
,,81.917837,0.728206,20.413217,0.913715,0.416,2.400694,,,,,31.884608,0.755336,0.416,2.400694
,,82.570121,0.74537,20.506249,0.912088,0.418,2.400239,,,,,32.023754,0.753,0.418,2.400239
,,83.235677,0.761765,20.599593,0.91073,0.42,2.399784,,,,,32.16358,0.751266,0.42,2.399784
,,83.914827,0.777408,20.693252,0.909641,0.422,2.399329,,,,,32.304092,0.750134,0.422,2.399329
,,84.607916,0.74571,20.787228,0.908822,0.424,2.398875,,,,,32.445298,0.749606,0.424,2.398875
