Time(ns),Calculated Values(V1),Calculated Values(V2)
0.562000,2.374225,2.600603,
0.564000,2.373829,2.600952,
0.566000,2.373434,2.601301,
0.568000,2.373039,2.601650,
0.570000,2.372644,2.601998,
0.572000,2.372249,2.602347,
0.574000,2.371855,2.602696,
0.576000,2.371461,2.603044,
0.578000,2.371068,2.603393,
0.580000,2.370675,2.603741,
0.582000,2.370282,2.604090,
0.584000,2.369889,2.604438,
0.586000,2.369497,2.604786,
0.588000,2.369106,2.605134,
0.590000,2.368714,2.605482,
0.592000,2.368323,2.605830,
0.594000,2.367933,2.606178,
0.596000,2.367542,2.606526,
0.598000,2.367153,2.606874,
0.600000,2.366763,2.607222,
0.602000,2.366374,2.607570,
0.604000,2.365985,2.607917,
0.606000,2.365597,2.608265,
0.608000,2.365209,2.608613,
0.610000,2.364821,2.608960,
0.612000,2.364433,2.609307,
0.614000,2.364046,2.609655,
0.616000,2.363660,2.610002,
0.618000,2.363273,2.610349,
0.620000,2.362887,2.610696,
0.622000,2.362502,2.611044,
0.624000,2.362117,2.611391,
0.626000,2.361732,2.611738,
0.628000,2.361347,2.612084,
0.630000,2.360963,2.612431,
0.632000,2.360579,2.612778,
0.634000,2.360196,2.613125,
0.636000,2.359813,2.613471,
0.638000,2.359430,2.613818,
0.640000,2.359047,2.614165,
0.642000,2.358665,2.614511,
0.644000,2.358284,2.614857,
0.646000,2.357902,2.615204,
0.648000,2.357522,2.615550,
0.650000,2.357141,2.615896,
0.652000,2.356761,2.616242,
0.654000,2.356381,2.616588,
0.656000,2.356001,2.616934,
0.658000,2.355622,2.617280,
0.660000,2.355243,2.617626,
0.662000,2.354865,2.617972,
0.664000,2.354487,2.618318,
0.666000,2.354109,2.618664,
0.668000,2.353731,2.619009,
0.670000,2.353354,2.619355,
0.672000,2.352978,2.619700,
0.674000,2.352601,2.620046,
0.676000,2.352225,2.620391,
0.678000,2.351850,2.620736,
0.680000,2.351474,2.621082,
0.682000,2.351100,2.621427,
0.684000,2.350725,2.621772,
0.686000,2.350351,2.622117,
0.688000,2.349977,2.622462,
0.690000,2.349603,2.622807,
0.692000,2.349230,2.623152,
0.694000,2.348858,2.623497,
0.696000,2.348485,2.623841,
0.698000,2.348113,2.624186,
0.700000,2.347741,2.624531,
0.702000,2.347370,2.624875,
0.704000,2.346999,2.625220,
0.706000,2.346628,2.625564,
0.708000,2.346258,2.625909,
0.710000,2.345888,2.626253,
0.712000,2.345518,2.626597,
0.714000,2.345149,2.626941,
0.716000,2.344780,2.627285,
0.718000,2.344412,2.627629,
0.720000,2.344044,2.627973,
0.722000,2.343676,2.628317,
0.724000,2.343308,2.628661,
0.726000,2.342941,2.629005,
0.728000,2.342574,2.629349,
0.730000,2.342208,2.629692,
0.732000,2.341842,2.630036,
0.734000,2.341476,2.630380,
0.736000,2.341111,2.630723,
0.738000,2.340746,2.631066,
0.740000,2.340381,2.631410,
0.742000,2.340017,2.631753,
0.744000,2.339653,2.632096,
0.746000,2.339289,2.632440,
0.748000,2.338926,2.632783,
0.750000,2.338563,2.633126,
0.752000,2.338201,2.633469,
0.754000,2.337838,2.633812,
0.756000,2.337477,2.634154,
0.758000,2.337115,2.634497,
0.760000,2.336754,2.634840,
0.762000,2.336393,2.635183,
0.764000,2.336033,2.635525,
0.766000,2.335673,2.635868,
0.768000,2.335313,2.636210,
0.770000,2.334954,2.636553,
0.772000,2.334595,2.636895,
0.774000,2.334236,2.637237,
0.776000,2.333878,2.637579,
0.778000,2.333520,2.637922,
0.780000,2.333162,2.638264,
0.782000,2.332805,2.638606,
0.784000,2.332448,2.638948,
0.786000,2.332091,2.639290,
0.788000,2.331735,2.639631,
0.790000,2.331379,2.639973,
0.792000,2.331024,2.640315,
0.794000,2.330669,2.640657,
0.796000,2.330314,2.640998,
0.798000,2.329959,2.641340,
0.800000,2.329605,2.641681,
0.802000,2.329252,2.642023,
0.804000,2.328898,2.642364,
0.806000,2.328545,2.642705,
0.808000,2.328192,2.643046,
0.810000,2.327840,2.643387,
0.812000,2.327488,2.643729,
0.814000,2.327136,2.644070,
0.816000,2.326785,2.644411,
0.818000,2.326434,2.644751,
0.820000,2.326084,2.645092,
0.822000,2.325733,2.645433,
0.824000,2.325383,2.645774,
0.826000,2.325034,2.646114,
0.828000,2.324685,2.646455,
0.830000,2.324336,2.646795,
0.832000,2.323987,2.647136,
0.834000,2.323639,2.647476,
0.836000,2.323291,2.647817,
0.838000,2.322944,2.648157,
0.840000,2.322597,2.648497,
0.842000,2.322250,2.648837,
0.844000,2.321904,2.649177,
0.846000,2.321558,2.649517,
0.848000,2.321212,2.649857,
0.850000,2.320867,2.650197,
0.852000,2.320522,2.650537,
0.854000,2.320177,2.650877,
0.856000,2.319833,2.651216,
0.858000,2.319489,2.651556,
0.860000,2.319145,2.651896,
0.862000,2.318802,2.652235,
0.864000,2.318459,2.652575,
0.866000,2.318116,2.652914,
0.868000,2.317774,2.653253,
0.870000,2.317432,2.653593,
0.872000,2.317091,2.653932,
0.874000,2.316750,2.654271,
0.876000,2.316409,2.654610,
0.878000,2.316068,2.654949,
0.880000,2.315728,2.655288,
0.882000,2.315389,2.655627,
0.884000,2.315049,2.655966,
0.886000,2.314710,2.656304,
0.888000,2.314371,2.656643,
0.890000,2.314033,2.656982,
0.892000,2.313695,2.657320,
0.894000,2.313357,2.657659,
0.896000,2.313020,2.657997,
0.898000,2.312683,2.658336,
0.900000,2.312346,2.658674,
0.902000,2.312010,2.659012,
0.904000,2.311674,2.659350,
0.906000,2.311338,2.659689,
0.908000,2.311003,2.660027,
0.910000,2.310668,2.660365,
0.912000,2.310334,2.660703,
0.914000,2.309999,2.661040,
0.916000,2.309666,2.661378,
0.918000,2.309332,2.661716,
0.920000,2.308999,2.662054,
0.922000,2.308666,2.662391,
0.924000,2.308334,2.662729,
0.926000,2.308001,2.663066,
0.928000,2.307670,2.663404,
0.930000,2.307338,2.663741,
0.932000,2.307007,2.664078,
0.934000,2.306676,2.664416,
0.936000,2.306346,2.664753,
0.938000,2.306016,2.665090,
0.940000,2.305686,2.665427,
0.942000,2.305357,2.665764,
0.944000,2.305028,2.666101,
0.946000,2.304699,2.666438,
0.948000,2.304371,2.666775,
0.950000,2.304043,2.667112,
0.952000,2.303715,2.667448,
0.954000,2.303388,2.667785,
0.956000,2.303061,2.668121,
0.958000,2.302734,2.668458,
0.960000,2.302408,2.668794,
0.962000,2.302082,2.669131,
0.964000,2.301757,2.669467,
0.966000,2.301431,2.669803,
0.968000,2.301107,2.670139,
0.970000,2.300782,2.670476,
0.972000,2.300458,2.670812,
0.974000,2.300134,2.671148,
0.976000,2.299811,2.671484,
0.978000,2.299487,2.671819,
0.980000,2.299165,2.672155,
0.982000,2.298842,2.672491,
0.984000,2.298520,2.672827,
0.986000,2.298198,2.673162,
0.988000,2.297877,2.673498,
0.990000,2.297556,2.673833,
0.992000,2.297235,2.674169,
0.994000,2.296915,2.674504,
0.996000,2.296595,2.674839,
0.998000,2.296275,2.675175,
1.000000,2.295955,2.675510,
1.002000,2.295636,2.675845,
1.004000,2.295318,2.676180,
1.006000,2.294999,2.676515,
1.008000,2.294681,2.676850,
1.010000,2.294364,2.677185,
1.012000,2.294047,2.677520,
1.014000,2.293730,2.677854,
1.016000,2.293413,2.678189,
1.018000,2.293097,2.678524,
1.020000,2.292781,2.678858,
1.022000,2.292465,2.679193,
1.024000,2.292150,2.679527,
1.026000,2.291835,2.679862,
1.028000,2.291520,2.680196,
1.030000,2.291206,2.680530,
1.032000,2.290892,2.680864,
1.034000,2.290579,2.681199,
1.036000,2.290266,2.681533,
1.038000,2.289953,2.681867,
1.040000,2.289640,2.682201,
1.042000,2.289328,2.682534,
1.044000,2.289016,2.682868,
1.046000,2.288705,2.683202,
1.048000,2.288394,2.683536,
1.050000,2.288083,2.683869,
1.052000,2.287773,2.684203,
1.054000,2.287462,2.684536,
1.056000,2.287153,2.684870,
1.058000,2.286843,2.685203,
